"ORDER_ID","ORDER_STATUS","STATUS_TIME"
"2235955",in_progress,2019-06-10 12:35:09
"2235725",started_dispatch,2019-06-10 12:35:48
"2236396",in_progress,2019-06-10 12:35:54
"2236396",picked,2019-06-10 12:35:54
"2236411",in_progress,2019-06-10 12:35:55
"2236493",in_progress,2019-06-10 12:36:23
"2236531",in_progress,2019-06-10 12:36:38
"2236555",in_progress,2019-06-10 12:37:18
"2236573",in_progress,2019-06-10 12:37:48
"2238113",in_progress,2019-06-10 12:38:28
"2236591",in_progress,2019-06-10 12:39:20
"2235935",picked,2019-06-10 12:40:16
"2236620",in_progress,2019-06-10 12:40:19
"2235955",picked,2019-06-10 12:40:30
"2236626",in_progress,2019-06-10 12:40:39
"2235944",picked,2019-06-10 12:41:33
"2236493",picked,2019-06-10 12:42:07
"2234980",packed,2019-06-10 12:42:21
"2236411",picked,2019-06-10 12:42:45
"2236531",picked,2019-06-10 12:43:30
"2236629",packed,2019-06-10 12:43:33
"2236591",picked,2019-06-10 12:44:03
"2237664",in_progress,2019-06-10 12:44:28
"2236650",in_progress,2019-06-10 12:44:41
"2236735",in_progress,2019-06-10 12:45:05
"2235790",packed,2019-06-10 12:45:11
"2236573",picked,2019-06-10 12:45:34
"2236555",picked,2019-06-10 12:45:59
"2236620",picked,2019-06-10 12:47:53
"2235955",started_dispatch,2019-06-10 12:47:59
"2236411",started_dispatch,2019-06-10 12:48:14
"2235725",in_dispatch_buffer,2019-06-10 12:48:25
"2236620",started_dispatch,2019-06-10 12:48:29
"2236735",picked,2019-06-10 12:50:38
"2235955",in_dispatch_buffer,2019-06-10 12:50:48
"2236735",started_dispatch,2019-06-10 12:50:50
"2236411",in_dispatch_buffer,2019-06-10 12:51:03
"2235725",packed,2019-06-10 12:51:45
"2235978",in_progress,2019-06-10 12:52:28
"2235955",packed,2019-06-10 12:53:12
"2236650",picked,2019-06-10 12:53:42
"2236411",packed,2019-06-10 12:54:01
"2235978",in_progress,2019-06-10 12:54:36
"2237693",in_progress,2019-06-10 12:56:27
"2236620",in_dispatch_buffer,2019-06-10 12:56:40
"2236650",started_dispatch,2019-06-10 12:56:45
"2236735",in_dispatch_buffer,2019-06-10 12:56:56
"2236620",packed,2019-06-10 12:57:29
"2236555",started_dispatch,2019-06-10 12:58:05
